Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-10-17,175.097900390625,131.47000122070312,,325.7754821777344,254.85000610351562
2023-10-18,173.8031005859375,128.1300048828125,,323.86236572265625,242.67999267578125
2023-10-19,173.42750549316406,128.39999389648438,,325.0494689941406,220.11000061035156
2023-10-20,170.8773956298828,125.16999816894531,,320.4875793457031,211.99000549316406
2023-10-23,170.99598693847656,126.55999755859375,,323.08734130859375,212.0800018310547
2023-10-24,171.43089294433594,128.55999755859375,,324.2744140625,216.52000427246094
2023-10-25,169.1179962158203,121.38999938964844,,334.2225646972656,212.4199981689453
2023-10-26,164.95677185058594,119.56999969482422,,321.6844482421875,205.75999450683594
2023-10-27,166.2713623046875,127.73999786376953,,323.5680847167969,207.3000030517578
2023-10-30,168.3173828125,132.7100067138672,,330.9261474609375,197.36000061035156
2023-10-31,168.79183959960938,133.08999633789062,,331.7109375,200.83999633789062
2023-11-01,171.9547576904297,137.0,,339.52032470703125,205.66000366210938
2023-11-02,175.51309204101562,138.07000732421875,,341.72772216796875,218.50999450683594
2023-11-03,174.60369873046875,138.60000610351562,,346.1229248046875,219.9600067138672
2023-11-06,177.15382385253906,139.74000549316406,,349.7823486328125,219.27000427246094
2023-11-07,179.71385192871094,142.7100067138672,,353.7066650390625,222.17999267578125
2023-11-08,180.7714385986328,142.0800018310547,,356.3261413574219,222.11000061035156
2023-11-09,180.2969970703125,140.60000610351562,,353.8636779785156,209.97999572753906
2023-11-10,184.48348999023438,143.55999755859375,,362.6736755371094,214.64999389648438
2023-11-13,182.89993286132812,142.58999633789062,,359.74029541015625,223.7100067138672
2023-11-14,185.51278686523438,145.8000030517578,,363.2622375488281,237.41000366210938
2023-11-15,186.0769500732422,143.1999969482422,,363.4097595214844,242.83999633789062
2023-11-16,187.75946044921875,142.8300018310547,,369.79974365234375,233.58999633789062
2023-11-17,187.73965454101562,145.17999267578125,,363.58673095703125,234.3000030517578
2023-11-20,189.48158264160156,146.1300048828125,,371.0482177734375,235.60000610351562
2023-11-21,188.67990112304688,143.89999389648438,,366.7522277832031,241.1999969482422
2023-11-22,189.34300231933594,146.7100067138672,,371.4512939453125,234.2100067138672
2023-11-24,188.0167999267578,146.74000549316406,,371.0383605957031,235.4499969482422
2023-11-27,187.83863830566406,147.72999572753906,,372.1983337402344,236.0800018310547
2023-11-28,188.44235229492188,147.02999877929688,,376.2191162109375,246.72000122070312
2023-11-29,187.42294311523438,146.32000732421875,,372.4342956542969,244.13999938964844
2023-11-30,187.99700927734375,146.08999633789062,,372.4933166503906,240.0800018310547
2023-12-01,189.2737274169922,147.02999877929688,,368.1678161621094,238.8300018310547
2023-12-04,187.48236083984375,144.83999633789062,,362.8887634277344,235.5800018310547
2023-12-05,191.43130493164062,146.8800048828125,,366.21148681640625,238.72000122070312
2023-12-06,190.34263610839844,144.52000427246094,,362.55450439453125,239.3699951171875
2023-12-07,192.27256774902344,146.8800048828125,,364.6680908203125,242.63999938964844
2023-12-08,193.69776916503906,147.4199981689453,,367.8925476074219,243.83999633789062
2023-12-11,191.19378662109375,145.88999938964844,,365.01214599609375,239.74000549316406
2023-12-12,192.70806884765625,147.47999572753906,,368.03997802734375,237.00999450683594
2023-12-13,195.92466735839844,148.83999633789062,,368.0301818847656,239.2899932861328
2023-12-14,196.07308959960938,147.4199981689453,,359.73309326171875,251.0500030517578
2023-12-15,195.53863525390625,149.97000122070312,,364.45184326171875,253.5
2023-12-18,193.8759307861328,154.07000732421875,,366.33929443359375,252.0800018310547
2023-12-19,194.9151611328125,153.7899932861328,,366.9389953613281,257.2200012207031
2023-12-20,192.82684326171875,152.1199951171875,,364.34368896484375,247.13999938964844
2023-12-21,192.6783447265625,153.83999633789062,,367.2142333984375,254.5
2023-12-22,191.60946655273438,153.4199981689453,,368.2366027832031,252.5399932861328
2023-12-26,191.06512451171875,153.41000366210938,,368.31524658203125,256.6099853515625
2023-12-27,191.16412353515625,153.33999633789062,,367.7352600097656,261.44000244140625
2023-12-28,191.5896759033203,153.3800048828125,,368.92474365234375,253.17999267578125
2023-12-29,190.55047607421875,151.94000244140625,,369.6719055175781,248.47999572753906
2024-01-02,183.7313232421875,149.92999267578125,,364.5894775390625,248.4199981689453
2024-01-03,182.3555908203125,148.47000122070312,,364.32403564453125,238.4499969482422
2024-01-04,180.0396728515625,144.57000732421875,,361.70904541015625,237.92999267578125
2024-01-05,179.31715393066406,145.24000549316406,,361.5223083496094,237.49000549316406
2024-01-08,183.652099609375,149.10000610351562,,368.3447265625,240.4499969482422
2024-01-09,183.23643493652344,151.3699951171875,,369.4261474609375,234.9600067138672
2024-01-10,184.275634765625,153.72999572753906,,376.2878723144531,233.94000244140625
2024-01-11,183.68182373046875,155.17999267578125,,378.11639404296875,227.22000122070312
2024-01-12,184.00843811035156,154.6199951171875,,381.89141845703125,218.88999938964844
2024-01-16,181.7419891357422,153.16000366210938,,383.660888671875,219.91000366210938
2024-01-17,180.80172729492188,151.7100067138672,,382.87451171875,215.5500030517578
2024-01-18,186.69056701660156,153.5,,387.1999816894531,211.8800048828125
2024-01-19,189.59046936035156,155.33999633789062,,391.918701171875,212.19000244140625
2024-01-22,191.896484375,154.77999877929688,,389.7952880859375,208.8000030517578
2024-01-23,193.17323303222656,156.02000427246094,,392.1448059082031,209.13999938964844
2024-01-24,192.50021362304688,156.8699951171875,,395.7427673339844,207.8300018310547
2024-01-25,192.17361450195312,157.75,,398.0137023925781,182.6300048828125
2024-01-26,190.4415740966797,159.1199951171875,,397.089599609375,183.25
2024-01-29,189.75868225097656,161.25999450683594,,402.7815246582031,190.92999267578125
2024-01-30,186.10659790039062,159.0,,401.6706848144531,191.58999633789062
2024-01-31,182.50404357910156,155.1999969482422,,390.8471374511719,187.2899932861328
2024-02-01,184.9387664794922,159.27999877929688,,396.942138671875,188.86000061035156
2024-02-02,183.93914794921875,171.80999755859375,,404.25616455078125,187.91000366210938
2024-02-05,185.7503204345703,170.30999755859375,,398.780517578125,181.05999755859375
2024-02-06,187.35366821289062,169.14999389648438,,398.6231689453125,185.10000610351562
2024-02-07,187.46253967285156,170.52999877929688,,407.0381774902344,187.5800018310547
2024-02-08,186.3837432861328,169.83999633789062,,407.0971984863281,189.55999755859375
2024-02-09,187.14682006835938,174.4499969482422,,413.4281311035156,193.57000732421875
2024-02-12,185.46214294433594,172.33999633789062,,408.22772216796875,188.1300048828125
2024-02-13,183.3711700439453,168.63999938964844,,399.4391174316406,184.02000427246094
2024-02-14,182.4891815185547,170.97999572753906,,403.2998352050781,188.7100067138672
2024-02-15,182.20181274414062,169.8000030517578,,400.4141540527344,200.4499969482422
2024-02-16,180.66578674316406,169.50999450683594,,397.95196533203125,199.9499969482422
2024-02-20,179.92254638671875,167.0800018310547,,396.7011413574219,193.75999450683594
2024-02-21,180.67572021484375,168.58999633789062,,396.10040283203125,194.77000427246094
2024-02-22,182.7071990966797,174.5800018310547,,405.42718505859375,197.41000366210938
2024-02-23,180.87391662597656,174.99000549316406,,404.13702392578125,191.97000122070312
2024-02-26,179.52615356445312,174.72999572753906,,401.3793640136719,199.39999389648438
