Date,Actual,LSTM_Forecast
2024-06-26,211.61338806152344,204.69973887002388
2024-06-27,212.4568634033203,207.63010385904386
2024-06-28,209.0035552978516,209.7450720134745
2024-07-01,215.0865020751953,207.207371334401
2024-07-02,218.5794982910156,208.53289759750731
2024-07-03,219.8496856689453,210.32684836957947
2024-07-05,224.60292053222656,212.14222774735424
2024-07-08,226.0715484619141,215.5284177566157
2024-07-09,226.92495727539065,216.91352136790445
2024-07-10,231.19195556640625,218.1270567131816
2024-07-11,225.823486328125,222.22876505139257
2024-07-12,228.77069091796875,224.9604354771468
2024-07-15,232.60104370117185,224.1815936831077
2024-07-16,233.01785278320312,227.0998920911669
2024-07-17,227.12341308593753,226.55871452824456
2024-07-18,222.45948791503903,224.55782166028183
2024-07-19,222.5884704589844,225.07366363982
2024-07-22,222.2411956787109,225.7292862689212
2024-07-23,223.2831268310547,222.62451807340724
2024-07-24,216.8627777099609,222.95106404657702
2024-07-25,215.8208465576172,219.44258271837327
2024-07-26,216.2872314453125,219.2208294784438
2024-07-29,216.5650787353516,216.55500431075683
2024-07-30,217.1208038330078,217.97869534877637
2024-07-31,220.3756103515625,216.08681016527245
2024-08-01,216.6841735839844,219.86818889153543
2024-08-02,218.1726531982422,218.754382159953
2024-08-05,207.66395568847656,219.90111711636987
2024-08-06,205.6395568847656,217.31464237418373
2024-08-07,208.209701538086,217.3261379988408
2024-08-08,211.6729278564453,217.66282897891432
2024-08-09,214.5804443359375,218.5987185348714
2024-08-12,216.11038208007807,220.49526059036805
2024-08-13,219.82598876953125,219.3964392920953
2024-08-14,220.27305603027344,220.70557842479937
2024-08-15,223.25347900390625,217.39242072383487
2024-08-16,224.57479858398438,220.37133643810466
2024-08-19,224.4158477783203,221.08070386794392
2024-08-20,225.0317687988281,221.5529614397505
2024-08-21,224.92250061035156,221.6429244709142
2024-08-22,223.0647125244141,223.56040428386947
2024-08-23,225.3596343994141,223.67101571495428
2024-08-26,225.6974029541016,225.8384304309108
2024-08-27,226.54185485839844,227.85896842782017
2024-08-28,225.0119171142578,230.39359120638645
2024-08-29,228.29037475585932,229.24138128706278
2024-08-30,227.50552368164068,227.769625940275
2024-09-03,221.31619262695312,230.51926534471875
2024-09-04,219.40872192382807,224.78326292555286
2024-09-05,220.92874145507807,227.65644307972386
2024-09-06,219.37892150878903,227.0610498958363
2024-09-09,219.4683380126953,225.23553069126595
2024-09-10,218.67355346679688,225.2517397984561
2024-09-11,221.2069091796875,226.94185449034768
2024-09-12,221.31619262695312,223.70366204848025
2024-09-13,221.04795837402344,224.13627558829938
2024-09-16,214.9082946777344,222.19359009988295
2024-09-17,215.3751983642578,221.6112604616854
